,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,BANK1,VCAM1,FTL.1,TRAC,CFD,CUNH1orf54,SLC8A1,LTF,LEF1,SOD2,MZB1,FCN1,ARPP21,CAMP.1,NKG7,EBF1,PCLAF,TXNDC5,PTPRD,CTSG,SOX5,NKG7,HLA-DRA,DNTT,ERBB4,RPL12,NRGN,MMP9,CDK6,PGLYRP1,DST
1,PLAC8,CFP,C1QC,CD3E,CD5L,CR2,DOCK4,S100A12,IL32,NAMPT,TXNDC5,SMPDL3A,LOC101681919,S100A9,CD3E,CD79B,MKI67,JCHAIN,LOC101692183,MPO,SMC6,GZMB,CXCL16,ARPP21,IRF8,TMSB10,FANCD2,CTSS,CCNY,LTF,FRMD4B
2,MEF2C,C1QA,FTH1,CD3G,C1QC,MS4A1,TCF7L2,PGLYRP1,TRAC,ACOD1,XBP1,UPP1,EBF1,S100A8,CD3G,IGHM,SPC24,LOC123390513,LOC101691899,ELANE,CUNH1orf54,TIMP1,MHC-DMB,RAG1,CCDC50,RPS5,MYL9,HPGD,LOC101674231,IFITM3,ABCA8
3,CD74,PSAP,B2M,TRBV25-1.1,C1QA,BANK1,PLXNA4,S100A9,CD3E,BASP1,JCHAIN,MITF,LOC101690439,HMGB2,CCL5,CD79A,CENPW,MZB1,CTSW,CST7,IRAG2,KLRK1,HLA-DQB1,IGLL5.3,RAB3C,RPLP0.1,TMSB4X,IL3RA,SOX4,PADI4,PDK4
4,EBF1,CD5L,TMSB4X,IL7R,CST3.1,SDC2,MERTK,S100A8,INPP4B,PLAUR,SEC11C,LRMDA,SOX4,PDE4D,GZMA,MS4A1,BIRC5,IGKV2D-26,NKG7,THY1,MS4A1,DAPL1,HLA-DQA1.1,VPREB1.3,P2RY14,RPL32.5,RNASE1.3,GATA2,ANGPT1,S100A12,SLC8A1
5,ARHGAP24,C4BPA.1,C1QA,IL32,B2M,ID3,DOCK7,CAMP.1,CAMK4,UPP1,LMAN1,RNASE6.1,CECR2,LOC106005766,CD3D,ARHGAP24,UBE2C.1,XBP1,KLRD1,RBP7,MEF2C,TRAT1,HLA-DQA1,GAB1,IER3IP1,RPS12.1,TMSB10,ABLIM1,TFPI,ALOX5AP,NEBL
6,MS4A1,C1QC,LOC106005570,CD52,C4BPA.1,TBC1D9,FRMD4B,S100P,SCML4,MXD1,FKBP11,GGH,LDLRAD4,ABCA13,TRBV25-1.1,AUTS2,TPX2,HSP90B1,SKAP1,H2AZ1==H2AFZ,HLA-DQA1,KLRC1,HLA-DRB1.1,MSI2,GAPT,RPS4X.3,LOC123386996,CPA3,PRKG1,SLCO4C1,MERTK
7,IGHM,CTSZ,CST3.1,CD3D,FTH1,CCDC50,PPARG,IFITM3,CD3G,ARHGAP15,TNFRSF17,ATP8B4,MSI2,CEACAM1.1,TRAC,PAX5,RRM2,IGHG1,LOC101670626,MS4A3,PRKCE,HOPX,HLA-DPB1,BLNK,CPNE8,RPS18,LOC106005570,MS4A2,STMN1,DACH1,PDGFC
8,IFITM3.1,CST3.1,ACTB,RORA,FTL.1,S1PR1,HDAC9,LYZ,LTB,CEBPB,LOC123390513,VCAN,GAS7,LYZ,PRKCH,SOX5,CKS2,MT-COX1,CD3G,ALAS1,BANK1,GZMH,PYCARD,VPREB3,PECAM1,PLAC8,FTH1,FNDC3B,MTSS1,S100A9,DOCK4
9,CD79B,NPC2,FCER1G,CD247,FCER1G,ABLIM1,MYO9A,ALOX5AP,TRBV25-1.1,JUNB,SELENOM,CLEC12A,BACH2,HMGN2.1,LOC101691899,AFF3,TYMS,MT-COX3,CD3E,GSTP1.1,POU2F2,KLRD1,HLA-DMA,DCK,RNF152,RPS20,RPLP1.1,ATP8B4,CD99,S100P,PLPP1
