Cluster,N_cells,Original_Coarse,Original_Coarse_Purity,Original_Fine,Original_Fine_Purity,Agent_Major,Agent_Major_Purity,Agent_Refined,Agent_Refined_Purity
0,54816,B cells,0.9261711908931699,NB1,0.6047504378283712,B cells,1.0,B cells (Naive),1.0
1,48815,Macrophages,0.9991191232203216,MQ1,0.9869507323568575,Macrophages,1.0,Macrophages (C1Q+),1.0
2,45294,Macrophages,0.9825363182761514,MQ1,0.9733298008566256,Macrophages,1.0,Macrophages (Resident),1.0
3,26236,T cells,0.9993520353712456,CD4_TEM,0.4980942216801342,T cells,1.0,T cells (CD4+),1.0
4,25025,Macrophages,0.998001998001998,MQ21,0.930989010989011,Macrophages,1.0,Macrophages (CD5L+),1.0
5,25015,B cells,0.998360983409954,MB2,0.8474115530681591,B cells,1.0,B cells (Follicular),1.0
6,24661,Macrophages,0.9545841612262277,MQ22,0.8916102347836665,Macrophages,1.0,Macrophages (MERTK+),1.0
7,22289,Neutrophils,0.9380860514154964,Neu2,0.8949257481268788,Neutrophils,1.0,Neutrophils (Mature),1.0
8,19308,T cells,0.9804226227470478,CD4_N,0.4925419515226849,T cells,1.0,T cells (Naive),1.0
9,19187,Neutrophils,0.9163496117162663,Neu1,0.9152030020326263,Monocytes,1.0,Monocytes (Activated),1.0
10,17124,Plasma cells,0.9481429572529783,PC1,0.8991473954683485,Plasma cells,1.0,Plasma cells,1.0
11,16748,Monocytes,0.859983281585861,IM,0.5720683066634822,Monocytes,1.0,Monocytes (Classical),1.0
12,15950,B cells,0.9973040752351097,NB3,0.919435736677116,B cells,1.0,B cells (Pro-B),1.0
13,15747,Neutrophils,0.9592938337461103,Neu3,0.8289832984060456,Neutrophils,1.0,Neutrophils (S100A8+),1.0
14,15730,T cells,0.9912269548633185,CD8_CTL,0.28887476160203435,T cells,1.0,NK/T cells (Cytotoxic),1.0
15,13753,B cells,0.992074456482222,NB2,0.7565622046099033,B cells,1.0,B cells (Mature),1.0
16,9655,Proliferating,0.6716727084412222,PB1,0.6480580010357327,Proliferating,1.0,Proliferating cells,1.0
17,6709,Plasma cells,0.8317185869727232,PC1,0.46743180801907885,Plasma cells,1.0,Plasma cells (IGKG+),1.0
18,6622,T cells,0.99879190576865,CD8_TEM,0.8595590456055572,NK cells,1.0,NK cells,1.0
19,6237,Neutrophils,0.8358185024851692,GMP,0.9050825717492385,Neutrophils,1.0,Neutrophils (Immature),1.0
20,4677,B cells,0.9989309386358777,MB1,0.9585204190720548,B cells,1.0,B cells (Memory),1.0
21,3440,T cells,0.9476744186046512,NK,0.854360465116279,NK cells,1.0,NK cells (GZMB+),1.0
22,3230,Monocytes,0.6510835913312694,cDC2,0.5582043343653251,Dendritic cells,1.0,Dendritic cells,1.0
23,3059,B cells,0.982020268061458,ImmB,0.9427917620137299,B cells,1.0,Pro-B cells (RAG+),1.0
24,2971,Dendritic cells,0.9047458768091552,pDC,0.9575900370245709,B cells,1.0,B cells (IRF8+),1.0
25,2921,B cells,0.9856213625470729,PC2,0.9572064361520027,B cells,1.0,B cells (Ribosomal high),1.0
26,1818,Neutrophils,0.4306930693069307,Platelet,0.6034103410341034,Neutrophils,1.0,Neutrophils (RNASE+),1.0
27,1328,Monocytes,0.7379518072289156,Mast,0.9156626506024096,Mast cells,1.0,Mast cells,1.0
28,1262,Monocytes,0.7218700475435816,HSC,0.9215530903328051,Endothelial,1.0,Endothelial cells,1.0
29,1067,Neutrophils,1.0,Neu2,0.9962511715089035,Neutrophils,1.0,Neutrophils (PGLYRP+),1.0
30,408,Macrophages,0.9754901960784313,MQ22,0.9730392156862745,Macrophages,1.0,Macrophages (Lipid),1.0
